Alta Clinica Codigo Amb;Alta Clinica Nome Amb;Setor - Centro de Custo;Tp Categoria Vl Custo;Tp Categoria Vl Custo (copy);Vl Categoria Vl Custo;Vl Faturado Amb;Cd Cen Cus;Cd Setor;Cd Setor Grupo;Dt Competencia;Nm Nivel2 Setor;Nm Nivel3 Setor;Nm Nivel4 Setor;Nm Setor;Nm Setor Grupo;Qt Pessoal Medico Rateio;Qt Pessoal Naomedico Rateio
;;3907 - DIR EXECUTIVA;RATEIO ABSORVIDO;vl_absorvido_total;20438.181;;05.40.01.02.00;3907;6812;01/01/2019;UNIDADES ADMINISTRATIVAS;ADMINISTRATIVO;DIR EXECUTIVA;DIR EXECUTIVA;ADMINISTRATIVO;2;10
;;3907 - DIR EXECUTIVA;GERAIS;vl_gerais_total;8307;;05.40.01.02.00;3907;6812;01/01/2019;UNIDADES ADMINISTRATIVAS;ADMINISTRATIVO;DIR EXECUTIVA;DIR EXECUTIVA;ADMINISTRATIVO;2;10
;;3907 - DIR EXECUTIVA;MAT CONSUMO GERAL;vl_mat_consumo_geral_total;1458;;05.40.01.02.00;3907;6812;01/01/2019;UNIDADES ADMINISTRATIVAS;ADMINISTRATIVO;DIR EXECUTIVA;DIR EXECUTIVA;ADMINISTRATIVO;2;10
;;3907 - DIR EXECUTIVA;MAT MED USO NO PACIENTE;vl_matmed_paciente_total;0;;05.40.01.02.00;3907;6812;01/01/2019;UNIDADES ADMINISTRATIVAS;ADMINISTRATIVO;DIR EXECUTIVA;DIR EXECUTIVA;ADMINISTRATIVO;2;10
;;3907 - DIR EXECUTIVA;NAO OPERACIONAIS;vl_nao_operacionais_total;0;;05.40.01.02.00;3907;6812;01/01/2019;UNIDADES ADMINISTRATIVAS;ADMINISTRATIVO;DIR EXECUTIVA;DIR EXECUTIVA;ADMINISTRATIVO;2;10
;;3907 - DIR EXECUTIVA;PESSOAL MEDICO;vl_pessoal_medico_total;32876;;05.40.01.02.00;3907;6812;01/01/2019;UNIDADES ADMINISTRATIVAS;ADMINISTRATIVO;DIR EXECUTIVA;DIR EXECUTIVA;ADMINISTRATIVO;2;10
;;3907 - DIR EXECUTIVA;PESSOAL NAO MEDICO;vl_pessoal_nmedico_total;68984;;05.40.01.02.00;3907;6812;01/01/2019;UNIDADES ADMINISTRATIVAS;ADMINISTRATIVO;DIR EXECUTIVA;DIR EXECUTIVA;ADMINISTRATIVO;2;10
;;3907 - DIR EXECUTIVA;PRESTACAO SERVICOS;vl_prestacao_servico_total;14907;;05.40.01.02.00;3907;6812;01/01/2019;UNIDADES ADMINISTRATIVAS;ADMINISTRATIVO;DIR EXECUTIVA;DIR EXECUTIVA;ADMINISTRATIVO;2;10
;;3907 - DIR EXECUTIVA;RATEIO ABSORVIDO;vl_absorvido_total;19384.3004;;05.40.01.02.00;3907;6812;01/02/2019;UNIDADES ADMINISTRATIVAS;ADMINISTRATIVO;DIR EXECUTIVA;DIR EXECUTIVA;ADMINISTRATIVO;2;10
;;3907 - DIR EXECUTIVA;GERAIS;vl_gerais_total;1183;;05.40.01.02.00;3907;6812;01/02/2019;UNIDADES ADMINISTRATIVAS;ADMINISTRATIVO;DIR EXECUTIVA;DIR EXECUTIVA;ADMINISTRATIVO;2;10
